Container,Zone,Entry,Exit
SN4,B,2022-01-09,2022-01-14
SN4,C,2022-01-14,2022-01-15
SN4,D,2022-01-26,2022-01-28
SN4,E,2022-01-28,2022-02-12
SN4,D,2022-02-12,2022-02-14
SN4,C,2022-02-23,2022-02-24
SN4,B,2022-02-24,2022-03-01
SN4,A,2022-10-19,2022-11-03
SN4,B,2022-11-03,2022-11-08
SN4,C,2022-11-08,2022-11-09
SN4,D,2022-11-18,2022-11-20
SN4,E,2022-11-20,2022-12-05
SN4,D,2022-12-05,2022-12-07
SN4,C,2022-12-19,2022-12-20
SN4,B,2022-12-20,2022-12-25
SN4,A,2023-06-01,2023-06-16
SN4,B,2023-06-16,2023-06-21
SN4,C,2023-06-21,2023-06-22
SN4,D,2023-07-03,2023-07-05
SN4,E,2023-07-05,2023-07-20
SN4,D,2023-07-20,2023-07-22
SN4,C,2023-07-31,2023-08-01
SN4,B,2023-08-01,2023-08-06
SN4,A,2023-08-22,2023-09-06
SN4,B,2023-09-06,2023-09-11
SN4,C,2023-09-11,2023-09-12
SN4,D,2023-09-22,2023-09-24
SN4,E,2023-09-24,2023-10-09
SN4,D,2023-10-09,2023-10-11
SN4,C,2023-10-21,2023-10-22
SN4,B,2023-10-22,2023-10-27
SN4,A,2023-11-12,2023-11-27
SN4,B,2023-11-27,2023-12-02
SN4,C,2023-12-02,2023-12-03
SN4,D,2023-12-13,2023-12-15
SN4,E,2023-12-15,2023-12-30
SN4,D,2023-12-30,2024-01-01
SN4,C,2024-01-13,2024-01-14
SN4,B,2024-01-14,2024-01-19
SN5,A,2023-06-01,2023-06-16
SN5,B,2023-06-16,2023-06-21
SN5,C,2023-06-21,2023-06-22
SN5,D,2023-07-03,2023-07-05
SN5,E,2023-07-05,2023-07-20
SN5,D,2023-07-20,2023-07-22
SN5,C,2023-07-31,2023-08-01
SN5,B,2023-08-01,2023-08-06
SN5,A,2023-08-22,2023-09-06
SN5,B,2023-09-06,2023-09-11
SN5,C,2023-09-11,2023-09-12
SN5,D,2023-09-22,2023-09-24
SN5,E,2023-09-24,2023-10-09
SN5,D,2023-10-09,2023-10-11
SN5,C,2023-10-21,2023-10-22
SN5,B,2023-10-22,2023-10-27
SN5,A,2024-02-26,2024-03-12
SN6,A,2021-07-22,2021-08-06
SN6,B,2021-08-06,2021-08-11
SN6,C,2021-08-11,2021-08-12
SN6,D,2021-08-22,2021-08-24
SN6,E,2021-08-24,2021-09-08
SN6,D,2021-09-08,2021-09-10
SN6,C,2021-09-20,2021-09-21
SN6,B,2021-09-21,2021-09-26
SN6,A,2022-05-18,2022-06-02
SN6,B,2022-06-02,2022-06-07
SN6,C,2022-06-07,2022-06-08
SN6,D,2022-06-19,2022-06-21
SN6,E,2022-06-21,2022-07-06
SN6,D,2022-07-06,2022-07-08
SN6,C,2022-07-18,2022-07-19
SN6,B,2022-07-19,2022-07-24
SN6,A,2022-09-26,2022-10-11
SN6,B,2022-10-11,2022-10-16
SN6,C,2022-10-16,2022-10-17
SN6,D,2022-10-27,2022-10-29
SN6,E,2022-10-29,2022-11-13
SN6,D,2022-11-13,2022-11-15
SN6,C,2022-11-26,2022-11-27
SN6,B,2022-11-27,2022-12-02
SN6,A,2023-04-14,2023-04-29
SN6,B,2023-04-29,2023-05-04
SN6,C,2023-05-04,2023-05-05
SN6,D,2023-05-15,2023-05-17
SN6,E,2023-05-17,2023-06-01
SN6,D,2023-06-01,2023-06-03
SN6,C,2023-06-12,2023-06-13
SN6,B,2023-06-13,2023-06-18
SN6,A,2023-09-24,2023-10-09
SN6,B,2023-10-09,2023-10-14
SN6,C,2023-10-14,2023-10-15
SN6,D,2023-10-26,2023-10-28
SN6,E,2023-10-28,2023-11-12
SN6,D,2023-11-12,2023-11-14
SN6,C,2023-11-24,2023-11-25
SN6,B,2023-11-25,2023-11-30
SN6,A,2023-12-14,2023-12-29
SN6,B,2023-12-29,2024-01-03
SN6,C,2024-01-03,2024-01-04
SN6,D,2024-01-14,2024-01-16
SN6,E,2024-01-16,2024-01-31
SN6,D,2024-01-31,2024-02-02
SN6,C,2024-02-13,2024-02-14
SN6,B,2024-02-14,2024-02-19
SN6,A,2024-02-19,2024-03-05
SN6,B,2024-03-05,2024-03-10
SN6,C,2024-03-10,2024-03-11
SN6,D,2024-03-21,2024-03-23
SN6,E,2024-03-23,2024-04-07
SN6,D,2024-04-07,2024-04-09
SN6,C,2024-04-19,2024-04-20
SN6,B,2024-04-20,2024-04-25
SN7,A,2020-12-09,2020-12-24
SN7,B,2020-12-24,2020-12-29
SN7,C,2020-12-29,2020-12-30
SN7,D,2021-01-10,2021-01-12
SN7,E,2021-01-12,2021-01-27
SN7,D,2021-01-27,2021-01-29
SN7,C,2021-02-08,2021-02-09
SN7,B,2021-02-09,2021-02-14
SN7,A,2021-07-22,2021-08-06
SN7,B,2021-08-06,2021-08-11
SN7,C,2021-08-11,2021-08-12
SN7,D,2021-08-22,2021-08-24
SN7,E,2021-08-24,2021-09-08
SN7,D,2021-09-08,2021-09-10
SN7,C,2021-09-20,2021-09-21
SN7,B,2021-09-21,2021-09-26
SN7,A,2021-12-25,2022-01-09
SN7,B,2022-01-09,2022-01-14
SN7,C,2022-01-14,2022-01-15
SN7,D,2022-01-26,2022-01-28
SN7,E,2022-01-28,2022-02-12
SN7,D,2022-02-12,2022-02-14
SN7,C,2022-02-23,2022-02-24
SN7,B,2022-02-24,2022-03-01
SN7,A,2022-05-18,2022-06-02
SN7,B,2022-06-02,2022-06-07
SN7,C,2022-06-07,2022-06-08
SN7,D,2022-06-19,2022-06-21
SN7,E,2022-06-21,2022-07-06
SN7,D,2022-07-06,2022-07-08
SN7,C,2022-07-18,2022-07-19
SN7,B,2022-07-19,2022-07-24
SN7,A,2023-01-24,2023-02-08
SN7,B,2023-02-08,2023-02-13
SN7,C,2023-02-13,2023-02-14
SN7,D,2023-02-25,2023-02-27
SN7,E,2023-02-27,2023-03-14
SN7,D,2023-03-14,2023-03-16
SN7,C,2023-03-28,2023-03-29
SN7,B,2023-03-29,2023-04-03
SN7,A,2023-04-14,2023-04-29
SN7,B,2023-04-29,2023-05-04
SN7,C,2023-05-04,2023-05-05
SN7,D,2023-05-15,2023-05-17
SN7,E,2023-05-17,2023-06-01
SN7,D,2023-06-01,2023-06-03
SN7,C,2023-06-12,2023-06-13
SN7,B,2023-06-13,2023-06-18
SN7,A,2023-07-21,2023-08-05
SN7,B,2023-08-05,2023-08-10
SN7,C,2023-08-10,2023-08-11
SN7,D,2023-08-21,2023-08-23
SN7,E,2023-08-23,2023-09-07
SN7,D,2023-09-07,2023-09-09
SN7,C,2023-09-21,2023-09-22
SN7,B,2023-09-22,2023-09-27
SN7,A,2023-11-12,2023-11-27
SN7,B,2023-11-27,2023-12-02
SN7,C,2023-12-02,2023-12-03
SN7,D,2023-12-13,2023-12-15
SN7,E,2023-12-15,2023-12-30
SN7,D,2023-12-30,2024-01-01
SN7,C,2024-01-13,2024-01-14
SN7,B,2024-01-14,2024-01-19
SN7,A,2024-02-19,2024-03-05
SN7,B,2024-03-05,2024-03-10
SN7,C,2024-03-10,2024-03-11
SN7,D,2024-03-21,2024-03-23
SN7,E,2024-03-23,2024-04-07
SN7,D,2024-04-07,2024-04-09
SN7,C,2024-04-19,2024-04-20
SN7,B,2024-04-20,2024-04-25
SN8,A,2021-07-22,2021-08-06
SN8,B,2021-08-06,2021-08-11
SN8,C,2021-08-11,2021-08-12
SN8,D,2021-08-22,2021-08-24
SN8,E,2021-08-24,2021-09-08
SN8,D,2021-09-08,2021-09-10
SN8,C,2021-09-20,2021-09-21
SN8,B,2021-09-21,2021-09-26
SN8,A,2022-05-18,2022-06-02
SN8,B,2022-06-02,2022-06-07
SN8,C,2022-06-07,2022-06-08
SN8,D,2022-06-19,2022-06-21
SN8,E,2022-06-21,2022-07-06
SN8,D,2022-07-06,2022-07-08
SN8,C,2022-07-18,2022-07-19
SN8,B,2022-07-19,2022-07-24
SN8,A,2022-10-19,2022-11-03
SN8,B,2022-11-03,2022-11-08
SN8,C,2022-11-08,2022-11-09
SN8,D,2022-11-18,2022-11-20
SN8,E,2022-11-20,2022-12-05
SN8,D,2022-12-05,2022-12-07
SN8,C,2022-12-19,2022-12-20
SN8,B,2022-12-20,2022-12-25
SN8,A,2023-01-24,2023-02-08
SN8,B,2023-02-08,2023-02-13
SN8,C,2023-02-13,2023-02-14
SN8,D,2023-02-25,2023-02-27
SN8,E,2023-02-27,2023-03-14
SN8,D,2023-03-14,2023-03-16
SN8,C,2023-03-28,2023-03-29
SN8,B,2023-03-29,2023-04-03
SN8,A,2023-04-14,2023-04-29
SN8,B,2023-04-29,2023-05-04
SN8,C,2023-05-04,2023-05-05
SN8,D,2023-05-15,2023-05-17
SN8,E,2023-05-17,2023-06-01
SN8,D,2023-06-01,2023-06-03
SN8,C,2023-06-12,2023-06-13
SN8,B,2023-06-13,2023-06-18
SN8,A,2023-07-21,2023-08-05
SN8,B,2023-08-05,2023-08-10
SN8,C,2023-08-10,2023-08-11
SN8,D,2023-08-21,2023-08-23
SN8,E,2023-08-23,2023-09-07
SN8,D,2023-09-07,2023-09-09
SN8,C,2023-09-21,2023-09-22
SN8,B,2023-09-22,2023-09-27
SN8,A,2023-11-12,2023-11-27
SN8,B,2023-11-27,2023-12-02
SN8,C,2023-12-02,2023-12-03
SN8,D,2023-12-13,2023-12-15
SN8,E,2023-12-15,2023-12-30
SN8,D,2023-12-30,2024-01-01
SN8,C,2024-01-13,2024-01-14
SN8,B,2024-01-14,2024-01-19
SN8,A,2024-02-19,2024-03-05
SN8,B,2024-03-05,2024-03-10
SN8,C,2024-03-10,2024-03-11
SN8,D,2024-03-21,2024-03-23
SN8,E,2024-03-23,2024-04-07
SN8,D,2024-04-07,2024-04-09
SN8,C,2024-04-19,2024-04-20
SN8,B,2024-04-20,2024-04-25
