Days,Inverted,PerfMean,PerfStd,EntryLoad,ExitLoad,EntryDemand,ExitDemand,Distance,ContainerQuantity,Entry,Exit,Stage
0,1.0,0.0,0.0,1,1,2,2,9.42,4,2022-11-28,2022-11-28,3
1,0.0,1.0,0.0,1,1,2,2,0.0,2,2022-11-28,2022-11-29,4
5,1.0,5.125,0.4841229182759271,1,0,2,0,0.0,4,2022-11-28,2022-12-03,2
10,0.0,10.625,0.9921567416492215,1,0,2,0,6698.14,2,2022-11-29,2022-12-09,5
52,1.0,114.46428571428571,108.07123383043543,0,2,0,0,9.7,1,2022-12-03,2023-01-24,1
133,1.0,114.46428571428571,108.07123383043543,0,0,0,0,9.7,2,2022-12-03,2023-04-15,1
228,1.0,114.46428571428571,108.07123383043543,0,0,0,2,9.7,1,2022-12-03,2023-07-19,1
2,0.0,2.0,0.0,0,0,0,0,0.0,2,2022-12-09,2022-12-11,6
0,0.0,0.0,0.0,0,0,0,0,15.06,2,2022-12-11,2022-12-11,7
15,0.0,15.0,0.0,0,0,0,0,0.0,2,2022-12-11,2022-12-26,8
0,1.0,0.0,0.0,0,0,0,0,15.06,2,2022-12-26,2022-12-26,7
2,1.0,2.0,0.0,0,0,0,0,0.0,2,2022-12-26,2022-12-28,6
13,1.0,13.0625,0.7473912964438374,0,2,0,0,6698.14,2,2022-12-28,2023-01-10,5
1,1.0,1.0,0.0,2,2,0,0,0.0,2,2023-01-10,2023-01-11,4
0,1.0,0.0,0.0,2,2,0,0,9.42,2,2023-01-11,2023-01-11,3
5,1.0,5.125,0.4841229182759271,2,2,0,0,0.0,2,2023-01-11,2023-01-16,2
8,1.0,114.46428571428571,108.07123383043543,2,2,0,0,9.7,1,2023-01-16,2023-01-24,1
136,1.0,114.46428571428571,108.07123383043543,2,0,0,0,9.7,1,2023-01-16,2023-06-01,1
0,0.0,0.0,0.0,0,0,2,2,9.7,2,2023-02-08,2023-02-08,1
5,0.0,5.0,0.0,0,0,2,2,0.0,2,2023-02-08,2023-02-13,2
0,0.0,7.0,10.024968827881711,0,0,2,2,9.42,2,2023-02-13,2023-02-13,3
1,0.0,1.0,0.0,0,0,2,2,0.0,2,2023-02-13,2023-02-14,4
11,0.0,10.625,0.9921567416492215,0,0,2,2,6698.14,2,2023-02-14,2023-02-25,5
2,0.0,2.0,0.0,0,0,2,2,0.0,2,2023-02-25,2023-02-27,6
0,0.0,0.0,0.0,0,0,2,2,15.06,2,2023-02-27,2023-02-27,7
15,0.0,15.0,0.0,0,2,2,0,0.0,2,2023-02-27,2023-03-14,8
0,1.0,0.0,0.0,2,2,0,0,15.06,2,2023-03-14,2023-03-14,7
2,1.0,2.0,0.0,2,2,0,0,0.0,2,2023-03-14,2023-03-16,6
14,1.0,13.0625,0.7473912964438374,2,2,0,0,6698.14,2,2023-03-16,2023-03-30,5
1,1.0,1.0,0.0,2,2,0,0,0.0,2,2023-03-30,2023-03-31,4
0,1.0,0.0,0.0,2,2,0,0,9.42,2,2023-03-31,2023-03-31,3
5,1.0,5.125,0.4841229182759271,2,0,0,0,0.0,2,2023-03-31,2023-04-05,2
10,1.0,114.46428571428571,108.07123383043543,0,0,0,0,9.7,1,2023-04-05,2023-04-15,1
174,1.0,114.46428571428571,108.07123383043543,0,1,0,2,9.7,1,2023-04-05,2023-09-26,1
0,0.0,0.0,0.0,0,0,0,0,9.7,4,2023-04-30,2023-04-30,1
5,0.0,5.0,0.0,0,1,0,4,0.0,4,2023-04-30,2023-05-05,2
0,0.0,7.0,10.024968827881711,1,1,4,4,9.42,4,2023-05-05,2023-05-05,3
1,0.0,1.0,0.0,1,1,4,4,0.0,4,2023-05-05,2023-05-06,4
9,0.0,10.625,0.9921567416492215,1,1,4,4,6698.14,4,2023-05-06,2023-05-15,5
2,0.0,2.0,0.0,1,1,4,4,0.0,4,2023-05-15,2023-05-17,6
0,0.0,0.0,0.0,1,1,4,4,15.06,4,2023-05-17,2023-05-17,7
15,0.0,15.0,0.0,1,0,4,0,0.0,4,2023-05-17,2023-06-01,8
0,1.0,0.0,0.0,0,0,0,0,15.06,4,2023-06-01,2023-06-01,7
2,1.0,2.0,0.0,0,0,0,0,0.0,4,2023-06-01,2023-06-03,6
12,1.0,13.0625,0.7473912964438374,0,0,0,0,6698.14,4,2023-06-03,2023-06-15,5
1,1.0,1.0,0.0,0,0,0,0,0.0,4,2023-06-15,2023-06-16,4
0,1.0,0.0,0.0,0,0,0,0,9.42,6,2023-06-16,2023-06-16,1
7,1.0,5.125,0.4841229182759271,0,0,0,0,0.0,4,2023-06-16,2023-06-16,3
0,0.0,7.0,10.024968827881711,0,0,0,0,9.42,2,2023-06-16,2023-06-21,2
1,0.0,1.0,0.0,0,0,0,0,0.0,2,2023-06-21,2023-06-21,3
28,1.0,114.46428571428571,108.07123383043543,0,0,0,2,9.7,3,2023-06-21,2023-06-22,4
62,1.0,114.46428571428571,108.07123383043543,0,2,0,4,9.7,1,2023-06-21,2023-07-19,1
11,0.0,10.625,0.9921567416492215,0,0,0,2,6698.14,2,2023-06-21,2023-08-22,1
2,0.0,2.0,0.0,0,0,2,2,0.0,2,2023-06-22,2023-07-03,5
0,0.0,0.0,0.0,0,0,2,2,15.06,2,2023-07-03,2023-07-05,6
15,0.0,15.0,0.0,0,0,2,2,0.0,2,2023-07-05,2023-07-05,7
0,1.0,0.0,0.0,0,0,2,2,15.06,2,2023-07-05,2023-07-20,8
2,1.0,2.0,0.0,0,0,2,2,0.0,2,2023-07-20,2023-07-20,7
13,1.0,13.0625,0.7473912964438374,0,2,2,4,6698.14,2,2023-07-20,2023-07-22,6
0,0.0,0.0,0.0,2,2,4,4,9.7,4,2023-07-22,2023-08-04,5
5,0.0,5.0,0.0,2,2,4,4,0.0,4,2023-08-03,2023-08-03,1
1,1.0,1.0,0.0,2,2,4,4,0.0,2,2023-08-03,2023-08-08,2
0,1.0,0.0,0.0,2,2,4,4,9.42,2,2023-08-04,2023-08-05,4
5,1.0,5.125,0.4841229182759271,2,2,4,4,0.0,2,2023-08-05,2023-08-05,3
0,0.0,7.0,10.024968827881711,2,2,4,4,9.42,4,2023-08-05,2023-08-10,2
1,0.0,1.0,0.0,2,2,4,4,0.0,4,2023-08-08,2023-08-08,3
12,0.0,10.625,0.9921567416492215,2,2,4,4,6698.14,4,2023-08-08,2023-08-09,4
12,1.0,114.46428571428571,108.07123383043543,2,2,4,4,9.7,1,2023-08-09,2023-08-21,5
47,1.0,114.46428571428571,108.07123383043543,2,1,4,2,9.7,1,2023-08-10,2023-08-22,1
2,0.0,2.0,0.0,2,2,4,4,0.0,4,2023-08-10,2023-09-26,1
0,0.0,0.0,0.0,2,2,4,4,15.06,4,2023-08-21,2023-08-23,6
15,0.0,15.0,0.0,2,1,4,2,0.0,4,2023-08-23,2023-08-23,7
0,0.0,0.0,0.0,1,1,2,2,9.7,2,2023-08-23,2023-09-07,8
5,0.0,5.0,0.0,1,1,2,2,0.0,2,2023-09-06,2023-09-06,1
0,1.0,0.0,0.0,1,1,2,2,15.06,4,2023-09-06,2023-09-11,2
2,1.0,2.0,0.0,1,1,2,2,0.0,4,2023-09-07,2023-09-07,7
13,1.0,13.0625,0.7473912964438374,1,1,2,2,6698.14,4,2023-09-07,2023-09-09,6
12,0.0,7.0,10.024968827881711,1,1,2,2,9.42,2,2023-09-09,2023-09-22,5
1,1.0,1.0,0.0,1,1,2,2,0.0,4,2023-09-11,2023-09-23,3
0,1.0,0.0,0.0,1,1,2,2,9.42,4,2023-09-22,2023-09-23,4
1,0.0,1.0,0.0,1,1,2,2,0.0,2,2023-09-23,2023-09-23,3
5,1.0,5.125,0.4841229182759271,1,1,2,2,0.0,4,2023-09-23,2023-09-24,4
10,0.0,10.625,0.9921567416492215,1,2,2,2,6698.14,2,2023-09-23,2023-09-28,2
45,1.0,114.46428571428571,108.07123383043543,1,1,2,0,9.7,3,2023-09-24,2023-10-04,5
75,1.0,114.46428571428571,108.07123383043543,1,0,2,4,9.7,1,2023-09-28,2023-11-12,1
2,0.0,2.0,0.0,2,2,2,2,0.0,2,2023-09-28,2023-12-12,1
0,0.0,0.0,0.0,2,2,2,2,15.06,2,2023-10-04,2023-10-06,6
15,0.0,15.0,0.0,2,2,2,2,0.0,2,2023-10-06,2023-10-06,7
0,0.0,0.0,0.0,2,2,2,2,9.7,2,2023-10-06,2023-10-21,8
5,0.0,5.0,0.0,2,2,2,2,0.0,2,2023-10-11,2023-10-11,1
21,0.0,7.0,10.024968827881711,2,1,2,0,9.42,2,2023-10-11,2023-10-16,2
0,1.0,0.0,0.0,2,2,2,2,15.06,2,2023-10-16,2023-11-06,3
2,1.0,2.0,0.0,2,2,2,2,0.0,2,2023-10-21,2023-10-21,7
13,1.0,13.0625,0.7473912964438374,2,1,2,0,6698.14,2,2023-10-21,2023-10-23,6
1,1.0,1.0,0.0,1,1,0,0,0.0,2,2023-10-23,2023-11-05,5
0,1.0,0.0,0.0,1,1,0,0,9.42,2,2023-11-05,2023-11-06,4
1,0.0,1.0,0.0,1,1,0,0,0.0,2,2023-11-06,2023-11-06,3
5,1.0,5.125,0.4841229182759271,1,1,0,0,0.0,2,2023-11-06,2023-11-07,4
9,0.0,10.625,0.9921567416492215,1,1,0,0,6698.14,2,2023-11-06,2023-11-11,2
1,1.0,114.46428571428571,108.07123383043543,1,1,0,0,9.7,1,2023-11-07,2023-11-16,5
31,1.0,114.46428571428571,108.07123383043543,1,0,0,4,9.7,1,2023-11-11,2023-11-12,1
2,0.0,2.0,0.0,1,1,0,0,0.0,2,2023-11-11,2023-12-12,1
0,0.0,0.0,0.0,1,1,0,0,15.06,2,2023-11-16,2023-11-18,6
15,0.0,15.0,0.0,1,0,0,4,0.0,2,2023-11-18,2023-11-18,7
0,0.0,0.0,0.0,1,1,0,0,9.7,4,2023-11-18,2023-12-03,8
5,0.0,5.0,0.0,1,0,0,4,0.0,4,2023-11-27,2023-11-27,1
18,0.0,7.0,10.024968827881711,0,0,4,4,9.42,4,2023-11-27,2023-12-02,2
0,1.0,0.0,0.0,0,0,4,4,15.06,2,2023-12-02,2023-12-20,3
2,1.0,2.0,0.0,0,0,4,4,0.0,2,2023-12-03,2023-12-03,7
14,1.0,13.0625,0.7473912964438374,0,0,4,4,6698.14,2,2023-12-03,2023-12-05,6
1,1.0,1.0,0.0,0,0,4,4,0.0,2,2023-12-05,2023-12-19,5
0,1.0,0.0,0.0,0,0,4,4,9.42,2,2023-12-19,2023-12-20,4
1,0.0,1.0,0.0,0,0,4,4,0.0,4,2023-12-20,2023-12-20,3
5,1.0,5.125,0.4841229182759271,0,0,4,4,0.0,2,2023-12-20,2023-12-21,4
10,0.0,10.625,0.9921567416492215,0,0,4,4,6698.14,4,2023-12-20,2023-12-25,2
0,0.0,0.0,0.0,0,0,4,4,9.7,2,2023-12-21,2023-12-31,5
5,0.0,5.0,0.0,0,2,4,2,0.0,2,2023-12-27,2023-12-27,1
2,0.0,2.0,0.0,0,2,4,2,0.0,4,2023-12-27,2024-01-01,2
31,0.0,7.0,10.024968827881711,2,0,2,0,9.42,2,2023-12-31,2024-01-02,6
0,0.0,0.0,0.0,2,2,2,2,15.06,4,2024-01-01,2024-02-01,3
15,0.0,15.0,0.0,2,2,2,2,0.0,4,2024-01-02,2024-01-02,7
0,1.0,0.0,0.0,2,2,2,2,15.06,4,2024-01-02,2024-01-17,8
2,1.0,2.0,0.0,2,2,2,2,0.0,4,2024-01-17,2024-01-17,7
12,1.0,13.0625,0.7473912964438374,2,2,2,2,6698.14,4,2024-01-17,2024-01-19,6
1,1.0,1.0,0.0,2,0,2,0,0.0,4,2024-01-19,2024-01-31,5
0,1.0,0.0,0.0,0,0,0,0,9.42,4,2024-01-31,2024-02-01,4
1,0.0,1.0,0.0,0,0,0,0,0.0,2,2024-02-01,2024-02-01,3
5,1.0,5.125,0.4841229182759271,0,0,0,0,0.0,4,2024-02-01,2024-02-02,4
12,0.0,10.625,0.9921567416492215,0,0,0,0,6698.14,2,2024-02-01,2024-02-06,2
13,1.0,114.46428571428571,108.07123383043543,0,0,0,0,9.7,3,2024-02-02,2024-02-14,5
2,0.0,2.0,0.0,0,0,0,0,0.0,2,2024-02-06,2024-02-19,1
0,0.0,0.0,0.0,0,0,0,0,15.06,2,2024-02-14,2024-02-16,6
15,0.0,15.0,0.0,0,2,0,6,0.0,2,2024-02-16,2024-02-16,7
0,1.0,0.0,0.0,2,2,6,6,15.06,2,2024-02-16,2024-03-02,8
2,1.0,2.0,0.0,2,2,6,6,0.0,2,2024-03-02,2024-03-02,7
14,1.0,13.0625,0.7473912964438374,2,2,6,6,6698.14,2,2024-03-02,2024-03-04,6
0,0.0,0.0,0.0,2,2,6,6,9.7,3,2024-03-04,2024-03-18,5
5,0.0,5.0,0.0,2,2,6,6,0.0,3,2024-03-05,2024-03-05,1
9,0.0,7.0,10.024968827881711,2,2,6,6,9.42,2,2024-03-05,2024-03-10,2
1,1.0,1.0,0.0,2,2,6,6,0.0,2,2024-03-10,2024-03-19,3
0,1.0,0.0,0.0,2,2,6,6,9.42,2,2024-03-18,2024-03-19,4
1,0.0,1.0,0.0,2,2,6,6,0.0,2,2024-03-19,2024-03-19,3
5,1.0,5.125,0.4841229182759271,2,2,6,6,0.0,2,2024-03-19,2024-03-20,4
10,0.0,10.625,0.9921567416492215,2,2,6,6,6698.14,2,2024-03-19,2024-03-24,2
2,0.0,2.0,0.0,2,0,6,0,0.0,2,2024-03-20,2024-03-30,5
0,0.0,0.0,0.0,0,0,0,0,15.06,2,2024-03-30,2024-04-01,6
15,0.0,15.0,0.0,0,0,0,0,0.0,2,2024-04-01,2024-04-01,7
0,1.0,0.0,0.0,0,0,0,0,15.06,2,2024-04-01,2024-04-16,8
2,1.0,2.0,0.0,0,0,0,0,0.0,2,2024-04-16,2024-04-16,7
13,1.0,13.0625,0.7473912964438374,0,1,0,0,6698.14,2,2024-04-16,2024-04-18,6
1,1.0,1.0,0.0,1,1,0,0,0.0,2,2024-04-18,2024-05-01,5
0,1.0,0.0,0.0,1,1,0,0,9.42,2,2024-05-01,2024-05-02,4
5,1.0,5.125,0.4841229182759271,1,1,0,0,0.0,2,2024-05-02,2024-05-02,3
